key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt
space,30.808,space,13.93,19305,0,0,0,0,1,O,001,2020-12-07_20h10.55.950,main,2020.2.5,MacIntel,60,,
,,,,,,,,,,O,001,2020-12-07_20h10.55.950,main,2020.2.5,MacIntel,60,n,9.205
