key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt
space,12.202955,space,45.02706,433,0,0,0,0,1,leilani,001,2020-12-09_15h24.41.495,main,2020.2.5,MacIntel,60,,
,,,,,,,,,,leilani,001,2020-12-09_15h24.41.495,main,2020.2.5,MacIntel,60,y,4.963075
